Date,Bid,Descript
2020-02-29,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-29,000063.SZ,新 基建投资 加速 G 与 工业 互联网 再 乘 东风 
2020-02-28,000063.SZ,深股通 席位 本周 龙虎榜 净 卖出 股 
2020-02-28,000063.SZ,法国电信 公司 OrangeORANUS 证实 中兴通讯 已 成为 其 在 西班牙 的 G 合作伙伴 
2020-02-28,000063.SZ,龙虎榜 新动向 股本 周获 机构 及 北向 资金 集体 抢筹 
2020-02-28,000063.SZ,月 股市 大幅 震荡 基金 收益 分化 明显 
2020-02-28,000063.SZ,G 概念股 延续 回调 中兴通讯 跌超 
2020-02-28,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-28,000063.SZ,行情 港股 苹果 概念股 跌幅 扩大 丘 钛 科技 HK 跌 超瑞声 科技 HK 跌舜宇 光学 科技 HK 跌超 中兴通讯 HK 跌超 
2020-02-28,000063.SZ,A股 融资 融券 日报 两融 余额 减少 亿元 月日 
2020-02-28,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-28,000063.SZ,智通 港股 通 持股 解析 月日 
2020-02-28,000063.SZ,每日 理财 观察 科技类 ETF 买盘 汹涌 黄金 期货 重回 升势 
2020-02-28,000063.SZ,陆家嘴 财经 早餐 年月日 星期五 
2020-02-28,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-28,000063.SZ,电信 联通 携手 建设 全球 最 大规模 G 共享 共建 网络 
2020-02-27,000063.SZ,智通 港股 通 活跃 成交 月日 
2020-02-27,000063.SZ,沪 股通净 卖出 亿元 
2020-02-27,000063.SZ,深股通 连续 日净 卖出 中兴通讯 累计 净 卖出 亿元 
2020-02-27,000063.SZ,北向 资金 今日 净流出 亿元 科技股 逆市 获加仓 
2020-02-27,000063.SZ,北上 资金 本周 亿 出逃 弃 白马 捡漏 低估 科技股 
2020-02-27,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-27,000063.SZ,科技股 牛市 已经 到来 
2020-02-27,000063.SZ,ETSI 最新 G 标准 必要 专利 声明 量 排名 中兴通讯 位列 全球 前列 
2020-02-27,000063.SZ,欧洲 电信 标准 协会 ETSI 最新 G 标准 必要 专利 排名 出炉 
2020-02-27,000063.SZ,A股 融资 融券 日报 两融 余额 增加 亿元 月日 
2020-02-27,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-27,000063.SZ,智通 港股 通 持股 解析 月日 
2020-02-27,000063.SZ,每日 理财 观察 央行 下调 支农 支小再 贷款 利率 再融资 市场 火热 
2020-02-27,000063.SZ,智通 港股 通 资金 流向 统计 T 月日 
2020-02-27,000063.SZ,利空 传闻 真相 亿 外资 紧急 逃 牛市 终结 or 正常 回调 
2020-02-27,000063.SZ,陆家嘴 财经 早餐 年月日 星期四 
2020-02-27,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-26,000063.SZ,A股 共 发生 宗 大宗 交易 成交 亿元 月日 
2020-02-26,000063.SZ,中兴通讯 LightCloud 解决方案 为 接入 网络流量 可视化 增色 
2020-02-26,000063.SZ,北向 资金 连续 净流出 中国平安 天 被 净 卖出 近 亿元 丨 牛 熊眼 
2020-02-26,000063.SZ,北水 动向 北水 净流入 亿 建行 再 获 亿 增持 
2020-02-26,000063.SZ,金融街 下午茶 年月日 星期三 
2020-02-26,000063.SZ,北向 资金 今日 净流出 亿元 中国平安 净 卖出 亿元 再度 居首 
2020-02-26,000063.SZ,中兴通讯 现笔 大宗 交易 共 成交 万元 
2020-02-26,000063.SZ,SchrodersPlc 减持 中兴通讯 万股 每股 作价 港元 
2020-02-26,000063.SZ,中兴通讯 今日 大宗 交易 成交 万股 成交价 元 溢价 
2020-02-26,000063.SZ,收评 港股 恒指 跌 科技股 大跌 地产股 走高 
2020-02-26,000063.SZ,恒指 探底 回升 收跌 手机配件 电讯 股 跌幅 居前 
2020-02-26,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-26,000063.SZ,中兴通讯 上日 破顶 暂跌 逾 主动 卖盘 近 
2020-02-26,000063.SZ,最新 披露 的 ETSIG 标准 必要 专利 中 中兴通讯 稳居 全球 前 三 
2020-02-26,000063.SZ,权益 变动 中兴通讯 HK 被 SchrodersPlc 减持 万股 
2020-02-26,000063.SZ,A股 融资 融券 日报 两融 余额 增加 亿元 月日 
2020-02-26,000063.SZ,中信证券 牛 陡会 走向 牛平 吗 
2020-02-26,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-26,000063.SZ,智通 港股 通 持股 解析 月日 
2020-02-26,000063.SZ,每日 理财 观察 行业 主题 ETF 表现 抢眼 纽约 期金跌 逾 
2020-02-26,000063.SZ,机构 资金 最近 入驻 这些 股 
2020-02-26,000063.SZ,创业板 估值 高不高 复盘 史 上次 大牛次 大顶 
2020-02-26,000063.SZ,中兴通讯 德勤 咨询 GICT 行业 趋势 白皮书 
2020-02-26,000063.SZ,手机 行业 冰 与 火 A股 持续 狂欢 出货量 恐难 乐观 
2020-02-26,000063.SZ,A股 再现 深 V 走势 科技 题材 成 反弹 主力 
2020-02-25,000063.SZ,恒指 收涨 报点 新 经济 股 回升 小米 集团 涨近 
2020-02-25,000063.SZ,警惕 亿 资金 出逃 这些 股 最火 概念 大 资金 高位 扔 筹码 
2020-02-25,000063.SZ,罕见 黄金 坑 千亿 科技 龙头 玩 刺激 主力 抢买股 曝光 附股 
2020-02-25,000063.SZ,申港 计算机 星网宇达 公司 深度 厚积薄发 走向 智能 无人 装备 的 大海 星辰 
2020-02-25,000063.SZ,中兴通讯 年 将 发布 近款 G 手机 
2020-02-25,000063.SZ,涨停 复盘 满屏 大长 腿 牛市 继续 
2020-02-25,000063.SZ,陆股通 成交额 亿元 创 今年以来 新高 
2020-02-25,000063.SZ,智通 港股 通 活跃 成交 月日 
2020-02-25,000063.SZ,新 基建 加速 G 商业化 中兴通讯 股价 创 历史 新高 
2020-02-25,000063.SZ,股 特大 单 净流入 资金 超 亿元 
2020-02-25,000063.SZ,股市 风口 海陆重工 连板 氮化 镓 概念 再 宣 涨停 潮 
2020-02-25,000063.SZ,收评 多方 守住 点 A股 仍能 走出 独立 行情 
2020-02-25,000063.SZ,智通 港股 周 新高 新低 统计 月日 
2020-02-25,000063.SZ,涨停板 复盘 两市 成交额 万亿 科技 题材 再度 强势 
2020-02-25,000063.SZ,研报 掘金 政府 强调 加快 G 步伐 通信 新 基建 或 加码 景气 度 提升 
2020-02-25,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-25,000063.SZ,打造 极致 网络 中兴通讯 全系列 G 商用 无线 产品 全面 升级 
2020-02-25,000063.SZ,西部证券 梳理 广电 G 发展 下 的 产业链 投资 逻辑 
2020-02-25,000063.SZ,中兴通讯 总裁 徐子阳 如何 助力 运营商 铺就 G 之路 
2020-02-25,000063.SZ,A股 强势 抗跌 创业板 V 型 反转 中兴通讯 创 历史 新高 
2020-02-25,000063.SZ,中兴通讯 SZ 一度 触及 涨停 年内 累涨 超 
2020-02-25,000063.SZ,创业板 指尾 盘升 再创 阶段 新高 
2020-02-25,000063.SZ,中兴通讯 创新 高后 倒 跌 逾 上 日 获大摩唱 好 
2020-02-25,000063.SZ,深圳 科技 指数 近年 涨幅 达 安信 深圳 科技 主题 指数 基金 业绩 飘红 
2020-02-25,000063.SZ,中兴通讯 H股 领涨 港股 资讯科技 板块 迅速 走强 
2020-02-25,000063.SZ,沪 指跌 失守 点 两市 半日 成交 逼近 万亿 
2020-02-25,000063.SZ,港股 低开 高 走 恒指 翻红 在线教育 和 通信 板块 领涨 
2020-02-25,000063.SZ,中兴通讯 升逾破 顶 工信部 支持 G 产业 复工 复产 
2020-02-25,000063.SZ,A股 融资 融券 日报 两融 余额 增加 亿元 月日 
2020-02-25,000063.SZ,港股 异动 中兴通讯 A H股 盘中 齐 创新 高 A股 升 逾 H股 跟 涨 
2020-02-25,000063.SZ,中兴通讯 涨超 刷新 历史 新高 
2020-02-25,000063.SZ,恒指 由 跌 转升 中兴通讯 腾讯 等 科技股 领涨 
2020-02-25,000063.SZ,行情 中兴通讯 HK 涨 刷新 历史 新高 中兴通讯 SZ 涨 
2020-02-25,000063.SZ,中兴通讯 涨 逾 成交额 近 亿 
2020-02-25,000063.SZ,行情 G 概念股 继续 走强 宜通世纪 世嘉科技 武汉 凡谷 涨停 中兴通讯 吴通控股 烽火通信 等 拉 升涨 逾 
2020-02-25,000063.SZ,粤开 策略 资金面 日报 机构 与 游资 一致 买入 两股 
2020-02-25,000063.SZ,近 两万元 华为 折叠 屏 手机 这些 公司 是 供应商 
2020-02-25,000063.SZ,信达 看盘 
2020-02-25,000063.SZ,科技股 暴涨 撑 多久 有 机构 大举 卖出 
2020-02-25,000063.SZ,A股 早报 年月日 星期二 
2020-02-25,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-25,000063.SZ,智通 港股 通 持股 解析 月日 
2020-02-25,000063.SZ,每日 理财 观察 多地 下调 急 响应 级别 爆款 基金 频现 
2020-02-25,000063.SZ,科技股 如火如荼 价值 投资 面临 尴尬 时刻 
2020-02-25,000063.SZ,主力 抢筹 沪电股份 游资 高 抛 华天科技 
2020-02-25,000063.SZ,基金 抱团 的 科技股 名单 来 了 这些 股 业绩 预计 增速 超 
2020-02-25,000063.SZ,炙热 的 科技 ETF 只新基 待审 候场 高 估值 下 波动 风险 乍现 
2020-02-25,000063.SZ,基金 抱团 的 科技股 名单 来 了 筹码 最多 被 锁定 这些 股 未来 业绩 预计 增速 超 
2020-02-25,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-25,000063.SZ,G 加速 游资 好手 抢占 
2020-02-24,000063.SZ,中兴 微信 小 程序 开启 线上 MWC 展会 
2020-02-24,000063.SZ,多家 上市公司 捐赠 医疗 物资 驰援 一线 战疫 
2020-02-24,000063.SZ,亿 资金 抢筹 活跃 游资 杀入 这 只 通信 龙头 这些 股 被 大 资金 相 中 
2020-02-24,000063.SZ,暴走 A股 G 产业链 大 子 行业 全 梳理 附 名单 
2020-02-24,000063.SZ,上 万亿 的 动荡 在 前行 动力 就 充足 
2020-02-24,000063.SZ,银宝山新 推出 智能 测温 门 助力 疫情 防控 
2020-02-24,000063.SZ,月日 A股 龙虎榜 揭秘 机构 抛售 股 
2020-02-24,000063.SZ,智通 港股 通 活跃 成交 月日 
2020-02-24,000063.SZ,龙虎榜 全 解析 机构 外资 未 进前 十 游资 爆炒 华为 概念股 
2020-02-24,000063.SZ,主力 动向 月日 特大 单 净流出 亿元 
2020-02-24,000063.SZ,北水 动向 北水 净流入 亿 G 独立 组网 建设 加速 中兴通讯 获亿净 买入 
2020-02-24,000063.SZ,港股 通北水 追捧 建行 工商 中兴通讯 
2020-02-24,000063.SZ,数据 复盘 主力 资金 净流出 亿元 北向 资金 净流出 亿元 
2020-02-24,000063.SZ,龙虎榜 机构 新动向 净买 入股 净 卖出 股 
2020-02-24,000063.SZ,港股 通 今日 净 买入 中兴通讯 亿港元 
2020-02-24,000063.SZ,中兴 总裁 徐子阳 正 研发 nm 芯片 功耗 每年 降低 
2020-02-24,000063.SZ,A股 市场 主力 资金 净流出 亿元 京东方 A 净流入 额 居首 
2020-02-24,000063.SZ,只股 股价 创 历史 新高 
2020-02-24,000063.SZ,中兴通讯 股价 创 历史 新高 一 机构 买入 亿元 
2020-02-24,000063.SZ,中兴通讯 G 基站 斩获 德国 iF 产品 设计奖 
2020-02-24,000063.SZ,中兴通讯 龙虎榜 数据 月日 
2020-02-24,000063.SZ,港股 收盘 恒指 收跌 G 供应链 爆发 中兴通讯 涨近 破顶 
2020-02-24,000063.SZ,高盛 正面 因素 已 反映 在 股价 上降 中兴通讯 及京信 通信 至 中性 评级 
2020-02-24,000063.SZ,中国移动 GSA 核心网 设备 集采 华为 中兴 包揽 近九成 份额 
2020-02-24,000063.SZ,中兴通讯 再度 涨停 国元证券 上海 虹桥路 买入 近 亿元 
2020-02-24,000063.SZ,月日 复盘 大盘 天量 滞涨 风险 大 主力 资金 出击 股 
2020-02-24,000063.SZ,月日 异动股 点评 中兴通讯 涨停 并 创新 高 盘点 四牛 与 四熊 
2020-02-24,000063.SZ,港股 收评 恒指 大跌 G 概念股 逆势 崛起 中兴通讯 飙升 超 腾讯 大跌 
2020-02-24,000063.SZ,收评 港股 恒指 跌 失守 点 国企 指数 重挫 
2020-02-24,000063.SZ,恒指 收跌 报点 G 概念股 飙升 中兴通讯 涨超 
2020-02-24,000063.SZ,恒指 低开 低 走 收跌 失守 点 油气 
2020-02-24,000063.SZ,涨停板 复盘 两市 成交额 万亿 G 等 科技 题材 大涨 
2020-02-24,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-24,000063.SZ,疫情 阻挡 了 MWC 但 阻挡 不了 G 的 快速 发展 
2020-02-24,000063.SZ,G 建设 步伐 加快 中兴通讯 H股 涨 中国 铁塔 涨 逾 
2020-02-24,000063.SZ,双双 创新 高 中兴通讯 H股 大涨 A股 涨停 
2020-02-24,000063.SZ,中兴通讯 屠嘉顺 网络 切片 将 为 成千上万 企业 带来 更强 竞争力 
2020-02-24,000063.SZ,中兴通讯 涨停 创 历史 新高 G 基建 提速 一图 全 梳理 通信 标的 股 
2020-02-24,000063.SZ,上证指数 震荡 收跌 创业板 指涨 G 引领 科技 
2020-02-24,000063.SZ,港股 G 概念股 涨幅 扩大 中兴通讯 H股 涨 逾 
2020-02-24,000063.SZ,异动股 工信 部促 加快 建设 G 概念股 逆市 扬 中兴通讯 涨 
2020-02-24,000063.SZ,港股 部分 G 概念股 涨幅 进一步 扩大 摩比 发展 和 中兴通讯 均 涨超 
2020-02-24,000063.SZ,月日 午后 主力 巨资 抢筹 四大 板块 附股 
2020-02-24,000063.SZ,中兴通讯 H A股 均 涨 逾 工信部 指要 加快 G 商用 步伐 
2020-02-24,000063.SZ,行情 中兴通讯 H股 A股 均 涨 至 工信部 指要 加快 G 商用 步伐 
2020-02-24,000063.SZ,中兴通讯 总裁 徐子阳 谈 G 建网 nm 芯片 将 使 功耗 每年 降低 超 
2020-02-24,000063.SZ,中兴通讯 升逾工 信部 指要 加快 G 商用 步伐 
2020-02-24,000063.SZ,G 建设 步伐 加快 中兴通讯 A股 强势 涨停 H股 大涨 近 
2020-02-24,000063.SZ,大摩 相信 中兴通讯 HK 未来 日 股价 将 跑 赢 同业 目标价 港元 
2020-02-24,000063.SZ,中兴通讯 上升 创新 高 
2020-02-24,000063.SZ,早盘 复盘 A股 深成指 创业板 震荡 翻红 港股 恒指 跌 航空 股 全线 下跌 
2020-02-24,000063.SZ,西部证券 G 进程 加速 关注 基建 与 应用 两大 机遇 
2020-02-24,000063.SZ,港股 午评 恒指 半日 跌 G 概念股 逆市 走强 中兴通讯 大涨 
2020-02-24,000063.SZ,恒指 半日 跌 中兴通讯 H股 逆市 涨近 创新 高 
2020-02-24,000063.SZ,G 概念 全线 大涨 中兴通讯 A股 涨停 H股 涨近 均 创 历史 新高 
2020-02-24,000063.SZ,G 概念 掀 涨停 潮 中兴通讯 涨停 创 历史 新高 成交额 逾 亿元 
2020-02-24,000063.SZ,只股 上午 收盘 涨停 附股 
2020-02-24,000063.SZ,大摩 中兴通讯 未来 日 股价 将 跑 赢 同业 予 增持 评级 
2020-02-24,000063.SZ,中兴通讯 涨停 股价 站上 元 关口 年内 涨幅 已超 
2020-02-24,000063.SZ,中国移动 GSA 核心网 设备 集采 华为 中兴 爱立信 中标 
2020-02-24,000063.SZ,上证指数 午盘 跌 创业板 指涨 近 口罩 
2020-02-24,000063.SZ,中兴通讯 大涨 成交额 近 亿元 
2020-02-24,000063.SZ,中兴通讯 首发 UGIPRAN 全 接口 新品 
2020-02-24,000063.SZ,港股 异动 中兴通讯 涨超创 上市 以来 新高 
2020-02-24,000063.SZ,快讯 G 概念 早盘 表现 强势 中兴通讯 续创 历史 新高 
2020-02-24,000063.SZ,中兴通讯 全力 保障 西宁市 城市 运行 管理 指挥 中心 运行 助力 全市 新冠 肺炎 疫情 防控 
2020-02-24,000063.SZ,中兴 总裁 徐子阳 提 加减乘除 策略 SA 才 是 G 目标 网络 
2020-02-24,000063.SZ,G 概念股 走强 中兴通讯 大涨 逾 
2020-02-24,000063.SZ,港股 异 动工 信部 指 加快 G 特别 是 独立 组网 建设 步伐 中兴通讯 A H股 均 涨超 
2020-02-24,000063.SZ,异动 直击 工信部 提出 加快 G 商用 步伐 中兴通讯 涨 创新 高 
2020-02-24,000063.SZ,中国移动 城市 GSA 核心网 集采 华为 成为 最大 赢家 
2020-02-24,000063.SZ,A股 融资 融券 日报 月日 
2020-02-24,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-24,000063.SZ,智通 港股 通 持股 解析 月日 
2020-02-24,000063.SZ,谁 推动 了 节后 这轮 结构 牛 行情 
2020-02-24,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-24,000063.SZ,不懈 创新 未来 可及 
2020-02-24,000063.SZ,国君 通信 一图 看 懂 华为 移动 服务 HMS 七大 细分 投资 机会 
2020-02-23,000063.SZ,中国移动 GSA 核心网 集采 华为 遥遥领先 中兴 爱立信 
2020-02-23,000063.SZ,东兴 机械 军工 北斗星通 北斗 导航 全 产业链 龙头 
2020-02-23,000063.SZ,G 重塑 价值 创新 共赢 未来 
2020-02-23,000063.SZ,中兴通讯 王喜瑜 核心 芯片 推动 G 技术 领先 和 规模 商用 
2020-02-22,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-21,000063.SZ,支援 祖国 抗击 疫情 踊跃 捐赠 为 匈牙利 中资企业 商会 点赞 
2020-02-21,000063.SZ,港股 复盘 恒指 走弱 周跌 濠 赌 手游 航空 股普跌 
2020-02-21,000063.SZ,北水 动向 北水 净流出 万 避险 情绪 下 追逐 确定性 再 买 建行 超亿 
2020-02-21,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-21,000063.SZ,中兴 公益 助力 武汉 医院 硬核 战疫 定点 捐赠 百万 核酸 检测 设备 
2020-02-21,000063.SZ,中兴通讯 和 德勤 中国 联合 发布 GICT 行业 趋势 白皮书 创新 求存 谋发展 
2020-02-21,000063.SZ,曾 被 制裁 罚款 约 亿 的 中兴通讯 短短 不到 年 股价 翻 了 倍 
2020-02-21,000063.SZ,中兴通讯 发布 智能 视频 云 疫情 防控 解决方案 
2020-02-21,000063.SZ,停课 不停 学 中兴通讯 助力 中国移动 快速 上线 云 课堂 业务 
2020-02-21,000063.SZ,A股 融资 融券 日报 两融 余额 增加 亿元 月日 
2020-02-21,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-21,000063.SZ,智通 港股 通 持股 解析 月日 
2020-02-21,000063.SZ,格隆汇 港股 通日 资金 流入 流出 排行榜 月日 
2020-02-20,000063.SZ,东吴 通信 侯宾 团队 全球 IDC 价值 重估 系列 深度 之一 流量 将 第三次 爆发 增长 从 收入 成本 视角 看 全球 IDC 企业 价值 重估 
2020-02-20,000063.SZ,北水 动向 北水 净流入 亿 央行 宣布 LPR 下调 建行 再 获 亿加仓 
2020-02-20,000063.SZ,只股 股价 创 历史 新高 
2020-02-20,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-20,000063.SZ,港股 异动 中标 中国电信 GDWDMOTN 集采 项目 份额 中兴通讯 尾盘 涨超 
2020-02-20,000063.SZ,特斯拉 涨近 丨 万达 发布 多项 扶持 商家 措施 Do 说 
2020-02-20,000063.SZ,中兴通讯 中标 中国电信 GDWDMOTN 集采 项目 份额 
2020-02-20,000063.SZ,智通 港股 通占 比 异动 统计 月日 
2020-02-20,000063.SZ,智通 港股 通 资金 流向 统计 T 月日 
2020-02-20,000063.SZ,上市公司 定增 动态 再融资 新规 落地 多家 公司 调整 发行 方案 
2020-02-19,000063.SZ,北向 资金 逆向 净流入 超亿 五粮液 净 买入 金额 高 达 亿元 
2020-02-19,000063.SZ,智通 港股 通 活跃 成交 月日 
2020-02-19,000063.SZ,白酒 股获 北向 资金 追捧 机构 短期 市场 已经 严重 超买 丨 牛 熊眼 
2020-02-19,000063.SZ,G 黎明 坚定 做 多 中兴通讯 
2020-02-19,000063.SZ,港股 复盘 恒指 收涨 比亚迪 股份 涨 逾 领涨 电池 概念股 
2020-02-19,000063.SZ,北水 动向 北水 净流入 亿获 大摩予 增持 评级 建行 再 获近 亿加仓 
2020-02-19,000063.SZ,中兴通讯 G 基站 斩获 德国 iF 产品 设计奖 
2020-02-19,000063.SZ,机构 称 正面 因素 已 反映 中兴通讯 回调 
2020-02-19,000063.SZ,报道 北上 资金 今日 净 买入 五粮液 亿元 中国国旅 亿元 净 卖出 宁德时代 亿元 中兴通讯 亿元 
2020-02-19,000063.SZ,北向 资金 今日 净流入 亿元 白酒 股受 追捧 
2020-02-19,000063.SZ,恒指 收涨 报点 比亚迪 股份 涨超 
2020-02-19,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-19,000063.SZ,港股 异动 中兴通讯 破顶 后 转跌 逾 遭 高盛 降 评级 称 现价 已 反映 正面 因素 
2020-02-19,000063.SZ,中兴通讯 破顶 后 倒 跌 近 高盛 降 评级 至 中性 
2020-02-19,000063.SZ,高盛 降 中兴通讯 至 中性 评级 维持 目标价 港元 
2020-02-19,000063.SZ,中兴通讯 低 时延 PON 方案 在 苏州 移动 现网 成功 验证 
2020-02-19,000063.SZ,中兴通讯 升逾创 上市 新高 暂 连升 日 
2020-02-19,000063.SZ,行情 中兴通讯 HK 涨超 股价 创 历史 新高 
2020-02-19,000063.SZ,股获 券商 买入 评级 明泰 铝业 目标 涨幅 达 
2020-02-19,000063.SZ,通信 运营商 加快 设备 集采 G 建设 有望 逐步 恢复 通信 行业 周报 看好 联系人 徐勇 
2020-02-18,000063.SZ,最牛 指数 再添 新 成员 深创 发布 七年 跑 赢 大盘 个 百分点 三大 维度 全 解读 
2020-02-18,000063.SZ,智通 港股 通 活跃 成交 月日 
2020-02-18,000063.SZ,港股 复盘 恒指 下挫 半导体 苹果 概念 领跌 大市 
2020-02-18,000063.SZ,北水 动向 北水 净流入 亿 进一步 宽松 几无 悬念 北水 继续 加仓内 银股 
2020-02-18,000063.SZ,最 被 看好 十大 港股 高盛 升腾 讯 目标价 至 港元 
2020-02-18,000063.SZ,大幅 上调 目标价 策略 月日 
2020-02-18,000063.SZ,亿 资金 争夺 股 主力 资金 重点 出击 股 名单 
2020-02-18,000063.SZ,港股 异动 获大摩 上调 目标价 至 港元 中兴通讯 涨近 
2020-02-18,000063.SZ,中兴通讯 发布 业界 首款 WiFi 认证 的 光 铜 双模 家庭 网关 
2020-02-18,000063.SZ,股获 买入 评级 最新 宝丰 能源 
2020-02-18,000063.SZ,WiFi 行业 深度 报告 万物 互联 未来 可 期 
2020-02-18,000063.SZ,疫情 影响 公司 营收 节奏 不 影响 总量 全年 G 投资 存在 较大 超 预期 可能 
2020-02-18,000063.SZ,第一 上海 丨 大市 分析 重磅 股 即将 发 业绩 内部 因素 成新 焦点 
2020-02-18,000063.SZ,大摩 上调 中兴通讯 目标价 至 港元 维持 增持 评级 
2020-02-18,000063.SZ,中兴通讯 发布 业界 首个 三模 动态 频谱 共享 解决方案 SuperDSS 
