Date,Bid,Descript,pred
2010/9/19,000063.SZ,涓浗鐢典俊 鎼烘墜 涓叴 鍙?鍗庝负 鎺ㄦ 鍗冨厓 Android 鎵嬫満 ,-1
2010/9/27,000063.SZ,涓叴閫氳 鎷?鍙傝偂 璁剧珛 涓叴 鍒涗笟鎶曡祫 鍩洪噾 鍏徃 ,1
2010/9/27,000063.SZ,涓叴閫氳 鎷?鍑鸿祫 璁よ喘 鍒涙姇 鍩洪噾 ,1
2010/9/27,000063.SZ,涓叴閫氳 G 璁惧 杩涘叆 鍙版咕 甯傚満 ,1
2010/9/27,000063.SZ,涓叴閫氳 绛?浼佷笟 鑶?棣栧眾 骞夸笢 璐ㄩ噺濂?,1
2010/9/28,000063.SZ,涓叴閫氳 浜胯瘯 姘?鍒涙姇 涓?,1
2010/9/30,000063.SZ,娓ゆ捣 璇佸埜 閫氫俊 琛屼笟 閫夋嫨缃戠粶 浼樺寲 璁惧 浼佷笟 ,1
2010/10/12,000063.SZ,涓叴 鎺ㄥ嚭 棣栨 鍩轰簬 Android 鎿嶄綔绯荤粺 骞虫澘 鐢佃剳 ,1
2010/10/12,000063.SZ,浠婂勾 涓叴 绉诲姩 閫氳 缁堢 鍑鸿揣 灏嗚繎 涓囬儴 ,1
2010/10/13,000063.SZ,涓俊璇佸埜 涓叴閫氳 鍏锋湁 浼板€?浼樺娍 ,1
2010/10/14,000063.SZ,浼?涓叴 涓?缇?涓ゅぇ 杩愯惀鍟?鐢熶骇 Android 鎵嬫満 ,1
2010/10/27,000063.SZ,涓叴閫氳 绗笁瀛ｅ害 鍑€鍒?浜?鍚屾瘮 澧為暱 ,-1
2010/10/28,000063.SZ,涓俊璇佸埜 涓叴閫氳 涓氱哗 鎸佺画澧為暱 纭畾 ,1
2010/11/2,000063.SZ,楂樺崕 璇佸埜 涓叴閫氳 杈?楂?姣涘埄鐜?鎶垫秷 鏀跺叆 涓嶅強 棰勬湡 褰卞搷 ,1
2010/11/12,000063.SZ,鐟為摱 璇佸埜 涓叴閫氳 鎵嬫満 鎷涙爣 鍐嶆 鎷夸笅 澶у崟 ,1
2010/11/17,000063.SZ,鍥芥嘲鍚涘畨 缁欎簣 閫氫俊 璁惧 琛屼笟 澧炴寔 璇勭骇 ,-1
2010/11/18,000063.SZ,閾舵渤璇佸埜 鐪嬪ソ 鍏夐€氫俊 璁惧 鍜?缃戠粶 閰嶇嚎 璁惧 琛屼笟 ,1
2010/11/19,000063.SZ,鐢抽摱涓囧浗 涓叴閫氳 鎴愰暱 鍔犻€?浼板€?浠?鍦?浣庝綅 ,1
2010/11/22,000063.SZ,鐢抽摱涓囧浗 閫氫俊 琛屼笟 璧勬湰 寮€鏀?鎻愰€?甯︽潵 涓婚鎬?鏈轰細 ,-1
2010/12/2,000063.SZ,闀挎睙 璇佸埜 涓叴閫氳 杩涘叆 鏃ユ湰 甯傚満鍓嶆櫙 鍚?濂?,1
2010/12/2,000063.SZ,鐢抽摱涓囧浗 涓叴閫氳 褰撳墠 浼板€?浠?鍦?浣庤胺 ,-1
2010/12/2,000063.SZ,鍗庢嘲 鑱斿悎 鎺ㄨ崘 閫氫俊 琛屼笟 涓夋潯 鎶曡祫 涓荤嚎 ,-1
2010/12/3,000063.SZ,鍏夊ぇ 璇佸埜 涓叴閫氳 浜氬お 甯傚満 钃勫娍寰呭彂 ,1
2010/12/9,000063.SZ,涓俊 寤烘姇 涓叴閫氳 鍗板害 鏂?鍗曚績 鏄庡勾 涓氱哗 澧為暱 ,1
2010/12/9,000063.SZ,鐢抽摱涓囧浗 涓叴閫氳 褰撳墠 浼板€?浠?鍦?浣庤胺 ,1
2010/12/9,000063.SZ,涓叴閫氳 鍗板害 绛?浠峰€?涓囩編鍏?鍚堝悓 ,1
2010/12/13,000063.SZ,涓叴閫氳 涓囪偂 鑲℃潈 婵€鍔?鑲?鍛ㄤ笁 涓婂競 ,1
2010/12/15,000063.SZ,鐢抽摱涓囧浗 涓?绉诲姩 浜?瀹藉甫 鎶曡祫 灏?鎷夊崌 鍏夐€氫俊 琛屼笟 闇€姹?,1
2010/12/17,000063.SZ,涓叴閫氳 鍦?寰峰浗 Darmstadt 璁剧珛 鍔炰簨澶?,1
2010/12/21,000063.SZ,涓叴閫氳 涓嶉仐浣欏姏 鎺ㄨ繘 CRAN 寤鸿 ,1
2010/12/22,000063.SZ,涓叴 鏅哄埄 璁″垝 骞?澧為暱 ,1
2010/12/22,000063.SZ,鍥介噾 璇佸埜 涓叴閫氳 鐩墠 浠锋牸 鏄?瀹夊叏 涔扮偣 ,1
2010/12/23,000063.SZ,涓叴閫氳 鎷?璁剧珛 瑗垮畨 杞欢 鍏徃 ,-1
2010/12/23,000063.SZ,浼?涓叴閫氳 姣嶅叕鍙?璋嬫眰 涓婂競 ,1
2010/12/24,000063.SZ,涓叴閫氳 鎸鸿繘 鍒涙姇 涓?,1
2010/12/28,000063.SZ,涓叴閫氳 ZXONE 绯诲垪 閫氳繃 鍥藉 璇鹃 鍏ㄩ潰 璁惧 娴嬭瘯 ,1
2010/12/28,000063.SZ,涓叴閫氳 鐢宠 鎺堜俊棰濆害 鍔犵爜 ,1
2010/12/28,000063.SZ,涓滄柟 璇佸埜 閫氫俊 琛屼笟 璁惧 鎶曡祫 鎴栬秴 棰勬湡 ,1
2011/1/5,000063.SZ,涓叴 棰勮 浠婂勾 缁堢浜у搧 閿€閲?澧為暱 ,-1
2011/1/5,000063.SZ,涓叴閫氳 绉?鍘诲勾 缁堢浜у搧 鍑鸿揣閲?鍚屾瘮 澧?浜旀垚 ,1
2011/1/5,000063.SZ,涓叴閫氳 骞?缁堢浜у搧 閿€閲?澧為暱 杩?,1
2011/1/5,000063.SZ,浣曞＋鍙?璋?涓叴 鎵嬫満 甯冨眬 鏈潵 涓夊勾 鍐插嚮 鍏ㄧ悆 鍓?涓?,1
2011/1/7,000063.SZ,涓叴 缇庡浗 鍒跺畾 涓夊勾 鐩爣 浠?G 缁堢 鍏ㄩ潰 绐佺牬 ,-1
2011/1/7,000063.SZ,涓叴 G 缁堢 浠婂勾 鍏ㄩ潰 涓婂競 閲嶇偣 閿佸畾 缇庡浗 ,1
2011/1/17,000063.SZ,涓叴閫氳 鍗板害 鍏徃 浠诲懡 宕旇壇鍐?涓?CEO ,-1
2011/1/17,000063.SZ,鍏夊ぇ 璇佸埜 缁存寔 閫氫俊 琛屼笟 鏁翠綋 澧炴寔 璇勭骇 ,-1
2011/1/20,000063.SZ,涓叴閫氳 骞村害 甯傚満 婊氬姩 浠介 鍏ㄧ悆 绗笁 ,1
2011/1/24,000063.SZ,涓叴閫氳 涓叴 鍊烘棩 浠樻伅 ,1
2011/1/25,000063.SZ,鍏夊ぇ 璇佸埜 瀵?閫氫俊 琛屼笟 鏁?缁存寔 澧炴寔 璇勭骇 ,1
2011/1/26,000063.SZ,涓叴 鍗板凹 CDMA 鎶€鏈?鏈夋湜 鏄捐憲 鍙戝睍 鏅鸿兘鏈?绌虹櫧 ,-1
2011/1/27,000063.SZ,涓叴閫氳 娴峰 甯傚満 閬囬樆 娉板浗 G 鎷涙爣 鍑哄眬 ,-1
2011/1/27,000063.SZ,涓叴閫氳 鍖楃編 閲婂啺 ,1
2011/1/27,000063.SZ,娴峰 甯傚満 閬囬樆 涓叴閫氳 娉板浗 G 鎷涙爣 鍑哄眬 ,-1
2011/1/28,000063.SZ,涓俊 寤烘姇 涓叴閫氳 瀛樺湪 杈?濂?鎶曡祫 鏈轰細 ,1
2011/1/28,000063.SZ,涓叴閫氳 鎴愪负 鍏ㄧ悆 绗洓 澶?鎵嬫満 鍘傚晢 ,1
2011/1/28,000063.SZ,涓滄柟 璇佸埜 涓叴閫氳 灏?鍙楃泭 TDLTE 寤鸿 ,1
2011/1/28,000063.SZ,涓叴閫氳 鍘诲勾 鍑€鍒?澧?閫?,1
2011/2/1,000063.SZ,涓摱鍥介檯 涓叴閫氳 骞?鍓嶆櫙 鍏夋槑 ,1
2011/2/10,000063.SZ,涓叴閫氳 浠婂勾 灏?鍔犲ぇ 濂椾繚 浜у搧 鎶曡祫 ,1
2011/2/11,000063.SZ,涓滄柟 璇佸埜 涓叴閫氳 鐩堝埄 姘村钩 鏈夋湜 鏄捐憲 鎻愰珮 ,1
2011/2/12,000063.SZ,涓叴閫氳 鍥介檯 涓撳埄鐢宠 閲?璺冨眳 鍏ㄧ悆 绗簩 ,1
2011/2/14,000063.SZ,涓叴閫氳 鏂?浠婂勾 鎵嬫満 閿€閲?澧?,1
2011/2/15,000063.SZ,涓叴閫氳 閾剁洃浼?鎵瑰噯 绛瑰缓 浼佷笟 闆嗗洟 璐㈠姟 鍏徃 ,1
2011/2/15,000063.SZ,涓叴閫氳 绛瑰缓 浼佷笟 闆嗗洟 璐㈠姟 鍏徃 鑾锋壒 ,-1
2011/2/16,000063.SZ,涓俊璇佸埜 涓叴閫氳 璐㈠姟 鍏徃 鑾锋壒 鍒╀簬 璐圭敤 鑺傚噺 涓?涓氬姟 鎵╁紶 ,-1
2011/2/18,000063.SZ,鍥芥嘲鍚涘畨 涓叴閫氳 浠ユ柊 鎶€鏈?鍚?娴峰 甯傚満 鎵╁睍 ,-1
2011/2/22,000063.SZ,鍗庢嘲 鑱斿悎 涓叴閫氳 涓氱哗 娼滃姏 涓?鑲＄エ 浼板€?閮?鍙?鏈熷緟 ,-1
2011/2/22,000063.SZ,鍏?鏈烘瀯 娣锋垬 涓叴閫氳 鎴愪氦 鍒涘ぉ閲?,-1
2011/2/25,000063.SZ,涓滄柟 璇佸埜 缁存寔 涓叴閫氳 涔板叆 璇勭骇 鐩爣浠?鍏?,1
2011/3/7,000063.SZ,鐢抽摱涓囧浗 涓叴閫氳 鏈潵 涓ゅ勾 CAGR 涓?鍙伴樁 ,1
2011/3/7,000063.SZ,鍥芥嘲鍚涘畨 涓叴閫氳 灏?鏈€涓?鍙楃泭 鍥藉唴 G 鎺ㄥ箍 ,1
2011/3/10,000063.SZ,涓?绉诲姩 G 璇曢獙 缃戝皢 鎷涙爣 涓叴閫氳 鏄?娴佸叆 ,1
2011/3/11,000063.SZ,涓叴閫氳 澶囧彈 杩芥崸 涓よ瀺 浣欓 绐佺牬 浜?,1
2011/3/11,000063.SZ,涓叴閫氳 澶囧彈 杩芥崸 涓よ瀺 浣欓 绐佺牬 浜?,-1
2011/3/16,000063.SZ,涓叴閫氳 鍛ㄤ笁 璧伴珮 灏?浜?鍛ㄥ洓 鍏竷 骞存姤 ,-1
2011/3/16,000063.SZ,涓叴閫氳 鑾?椹潵瑗夸簹 楂橀€?鏃犵嚎缃戠粶 寤鸿 澶у崟 ,-1
2011/3/16,000063.SZ,涓叴閫氳 G 鎺ㄥ箍 鍙?缁?纭曟灉 椹潵瑗夸簹 绛惧ぇ鍗?,1
2011/3/17,000063.SZ,涓叴閫氳 鍘诲勾 鍑€鍒?澧?閫?涓夋垚 鎷?杞淳 鍏?,1
2011/3/17,000063.SZ,涓叴閫氳 绗洓瀛?鍑€鍒?涓婂崌 绗﹀悎 棰勬湡 ,-1
2011/3/18,000063.SZ,鐢抽摱涓囧浗 缁欎簣 涓叴閫氳 鐩爣浠?鍏?,-1
2011/3/18,000063.SZ,鍥戒俊 璇佸埜 涓叴閫氳 鏈潵 鎸佺画澧為暱 纭畾鎬?杈?楂?,1
2011/3/18,000063.SZ,涓叴閫氳 鍘诲勾 鍑€鍒╂鼎 鍚屾瘮 澧?,1
2011/3/18,000063.SZ,涓叴閫氳 鎶曡祫 浜垮缓 鍗椾含 鐮斿彂 鍩哄湴 ,-1
2011/3/18,000063.SZ,涓叴閫氳 浜垮缓 鐮斿彂 鍩哄湴 ,-1
2011/3/18,000063.SZ,涓叴閫氳 鎶曡祫 浜垮缓 鍗椾含 鐮斿彂 鍩哄湴 ,1
2011/3/21,000063.SZ,鍥芥嘲鍚涘畨 鍧氬畾 鐪嬪ソ 涓叴閫氳 鏈潵 鍙戝睍 ,1
2011/3/23,000063.SZ,鐢抽摱涓囧浗 棰勮 涓叴閫氳 鏀跺叆 淇濇寔 澧為暱 ,-1
2011/3/23,000063.SZ,涓叴閫氳 璁″垝 鍦?鍒氭灉 甯?寤鸿 鍏変紡 缁勪欢 鍘?,1
2011/3/23,000063.SZ,涓叴 鎵嬫満 鍏ㄧ悆 閿€閲?棣栨 杩涘叆 涓栫晫 鍓嶄簲 闊╀紒 绱у紶 ,-1
2011/3/31,000063.SZ,涓叴閫氳 鍘诲勾 鍏ㄥ勾 钀ヤ笟 鏀跺叆 绐佺牬 涓冪櫨 ,1
2011/4/6,000063.SZ,閾舵渤璇佸埜 涓撳埄 璇夎 灏?鏃犵 涓叴閫氳 瀵规 閿€鍞?,1
2011/4/6,000063.SZ,涓叴 鍦?娆?閬亣 鐖辩珛淇?璧疯瘔 ,-1
2011/4/7,000063.SZ,涓叴閫氳 琚?鐖辩珛淇?璧疯瘔 渚垫潈 鐮旂┒鍛?瀵?鍏徃 褰卞搷 涓?澶?,-1
2011/4/8,000063.SZ,涓叴閫氳 搴旇瘔 鐖辩珛淇?涓撳埄 璇夎 ,1
2011/4/11,000063.SZ,鍏夊ぇ 璇佸埜 閫氫俊 琛屼笟 鏉垮潡 浼板€?瓒嬩簬 鍚堢悊 涓?鎶曡祫 鏈轰細 闅愮幇 ,1
2011/4/12,000063.SZ,涓撳埄 鎴?鍗囩骇 涓叴 姝ｅ紡 鍙嶈瘔 鐖辩珛淇?,-1
2011/4/13,000063.SZ,涓叴閫氳 鍙嶈瘔 鐖辩珛淇?渚垫潈 娑?GSM 绛?涓氬姟 ,1
2011/4/13,000063.SZ,涓叴閫氳 鍙嶈瘔 鐖辩珛淇?涓撳埄 鎴?鑳屽悗 鐜?G 甯冪綉 绔炰簤 ,1
2011/4/15,000063.SZ,鐢抽摱涓囧浗 閫氫俊 琛屼笟 涓?璁惧 鍟?澧為暱 骞虫贰 ,1
2011/4/18,000063.SZ,涓叴閫氳 鍔╁姏 涓浗鑱旈€?鏋勫缓 HSPA 绮惧搧 鎵胯浇 缃?,-1
2011/4/19,000063.SZ,涓叴閫氳 骞?绗竴瀛ｅ害 绾埄 鍚屾瘮 澧?,-1
2011/4/20,000063.SZ,鍥戒俊 璇佸埜 鐪嬪ソ 涓叴閫氳 鍏ㄥ勾 琛ㄧ幇 ,1
2011/4/20,000063.SZ,涓叴閫氳 瀛ｅ害 澧為暱 骞虫贰 鍚庣画 鏈?鍔犻€?,-1
2011/4/20,000063.SZ,閾舵渤璇佸埜 涓叴閫氳 灏?鍙楃泭 杩愯惀鍟?璧勬湰 寮€鏀?钀藉疄 ,-1
2011/4/20,000063.SZ,鐢抽摱涓囧浗 涓叴閫氳 姣涘埄鐜?鎸囨爣 鍚?濂?,1
2011/4/20,000063.SZ,涓叴閫氳 棣栧 璧?浜?,1
2011/4/22,000063.SZ,涓叴 璇?鐖辩珛淇?寮€鎵?涓撳埄 鎴?,1
2011/4/25,000063.SZ,涓叴閫氳 浼犵粺 娣″ 缂轰箯 浜偣 涔板叆 璇勭骇 ,1
2011/4/26,000063.SZ,涓叴閫氳 棣栨 鏇濆厜 鏅鸿兘 缁堢 鍏ㄧ悆 甯傚満 鐗堝浘 ,-1
2011/4/28,000063.SZ,涓叴閫氳 璁″垝 浠婂勾 閿€鍞?鏅鸿兘 缁堢 涓囬儴 ,1
2011/4/29,000063.SZ,涓叴 鍙嶅嚮 鍗庝负 涓?鐣忔儳 鏉ヨ嚜 鑳岄潰 鐨?瀵昏 ,1
2011/4/29,000063.SZ,鍗庝负 鍦?娆ф床 璧疯瘔 涓叴閫氳 渚垫潈 涓叴 鑵硅儗鍙楁晫 閬?涓撳埄 鍥存敾 ,1
2011/4/29,000063.SZ,娑?鐭ヨ瘑浜ф潈 渚垫潈 鍗庝负 涓叴 娆ф床 鏂楁硶 ,-1
2011/5/3,000063.SZ,涓叴閫氳 鍦?娆ф床 鍜?涓浗 鍚屾椂 鍙嶈瘔 鍗庝负 ,1
2011/5/3,000063.SZ,涓叴閫氳 鍐嶉櫡 涓撳埄 绾犵悍 鍗庝负 璇夊叾 渚垫潈 ,1
2011/5/4,000063.SZ,闀垮煄 璇佸埜 缁存寔 涓叴閫氳 寮虹儓鎺ㄨ崘 璇勭骇 ,-1
2011/5/4,000063.SZ,鍙舵獉 鍗庝负 涓叴 鍐呮垬 涓嶅繀 鎷呭績 ,1
2011/5/4,000063.SZ,鍗庝负 涓叴 鍚屽鎿嶆垐 ,1
2011/5/4,000063.SZ,涓叴 鍐嶆 鍙嶈瘔 鍗庝负 娆ф床 甯傚満 鎴?鎴樺満 ,1
2011/5/5,000063.SZ,涓叴閫氳 璇?鍗庝负 渚垫潈 鏄惁 绔嬫 浠婃棩 鎻檽 ,1
2011/5/5,000063.SZ,浼?涓叴 姝?瀵绘眰 浜跨編鍏?璐锋 ,-1
2011/5/5,000063.SZ,涓叴閫氳 瀹ｅ竷 鏅鸿兘 缁堢 鎴樼暐 杞瀷 ,1
2011/5/6,000063.SZ,鍗庝负 涓叴 涓撳埄 鎴?鍛煎敜 鍥藉 鐭ヨ瘑浜ф潈 鎴樼暐 ,-1
2011/5/7,000063.SZ,涓叴閫氳 鏈?鍏憡 閬?鍗庝负 璧疯瘔 鎴?杩濆弽 淇℃姭 瀹堝垯 ,-1
2011/5/13,000063.SZ,涓叴閫氳 鎾囧紑 绾锋壈 鍞互 涓氱哗 閴?浠峰€?,1
2011/5/13,000063.SZ,涓叴閫氳 绉瀬 搴斿 鍗庝负 涓撳埄 璇夎 ,1
2011/5/13,000063.SZ,涓叴閫氳 鍥炲簲 鍗庝负 涓撳埄 璇夎妗?,-1
2011/5/13,000063.SZ,寰峰浗 绂佹 涓叴 閿€鍞?浣跨敤 鍗庝负 鍟嗘爣 鐨?缃戠粶璁惧 ,1
2011/5/16,000063.SZ,涓叴閫氳 琛屼笟 绔炰簤 婵€鐑?鍏徃 瀹炲姏 宸?楠岃瘉 ,-1
2011/5/16,000063.SZ,鍥芥嘲鍚涘畨 缁存寔 涓叴閫氳 澧炴寔 璇勭骇 ,-1
2011/5/16,000063.SZ,涓叴閫氳 鎾囧紑 绾锋壈 鍞互 涓氱哗 閴?浠峰€?,1
